t,delta,omega,delta_dev,omega_dev
0,0.779728,1,0.05,0
0.001,0.779727,0.999998,0.0499997,-1.74637e-06
0.002,0.779727,0.999997,0.0499989,-3.48923e-06
0.003,0.779725,0.999995,0.0499975,-5.22857e-06
0.004,0.779723,0.999993,0.0499956,-6.96437e-06
0.005,0.779721,0.999991,0.0499932,-8.69664e-06
0.006,0.779718,0.99999,0.0499902,-1.04254e-05
0.007,0.779714,0.999988,0.0499866,-1.21505e-05
0.008,0.77971,0.999986,0.0499825,-1.38721e-05
0.009,0.779706,0.999984,0.0499779,-1.559e-05
0.01,0.7797,0.999983,0.0499727,-1.73044e-05
0.011,0.779695,0.999981,0.049967,-1.90152e-05
0.012,0.779688,0.999979,0.0499608,-2.07223e-05
0.013,0.779682,0.999978,0.049954,-2.24259e-05
0.014,0.779674,0.999976,0.0499467,-2.41257e-05
0.015,0.779666,0.999974,0.0499388,-2.58219e-05
0.016,0.779658,0.999972,0.0499305,-2.75145e-05
0.017,0.779649,0.999971,0.0499216,-2.92034e-05
0.018,0.77964,0.999969,0.0499121,-3.08886e-05
0.019,0.77963,0.999967,0.0499021,-3.25701e-05
0.02,0.779619,0.999966,0.0498917,-3.42478e-05
0.021,0.779608,0.999964,0.0498806,-3.59219e-05
0.022,0.779597,0.999962,0.0498691,-3.75922e-05
0.023,0.779585,0.999961,0.049857,-3.92588e-05
0.024,0.779572,0.999959,0.0498444,-4.09217e-05
0.025,0.779559,0.999957,0.0498313,-4.25807e-05
0.026,0.779545,0.999956,0.0498177,-4.42361e-05
0.027,0.779531,0.999954,0.0498035,-4.58876e-05
0.028,0.779516,0.999952,0.0497888,-4.75353e-05
0.029,0.779501,0.999951,0.0497736,-4.91793e-05
0.03,0.779486,0.999949,0.0497579,-5.08194e-05
0.031,0.779469,0.999948,0.0497417,-5.24557e-05
0.032,0.779453,0.999946,0.049725,-5.40881e-05
0.033,0.779435,0.999944,0.0497077,-5.57168e-05
0.034,0.779418,0.999943,0.04969,-5.73416e-05
0.035,0.779399,0.999941,0.0496717,-5.89625e-05
0.036,0.779381,0.999939,0.0496529,-6.05795e-05
0.037,0.779361,0.999938,0.0496336,-6.21927e-05
0.038,0.779341,0.999936,0.0496138,-6.3802e-05
0.039,0.779321,0.999935,0.0495935,-6.54073e-05
0.04,0.7793,0.999933,0.0495727,-6.70088e-05
0.041,0.779279,0.999931,0.0495514,-6.86064e-05
0.042,0.779257,0.99993,0.0495296,-7.02e-05
0.043,0.779235,0.999928,0.0495073,-7.17897e-05
0.044,0.779212,0.999927,0.0494845,-7.33754e-05
0.045,0.779189,0.999925,0.0494612,-7.49572e-05
0.046,0.779165,0.999923,0.0494374,-7.6535e-05
0.047,0.779141,0.999922,0.0494131,-7.81089e-05
0.048,0.779116,0.99992,0.0493884,-7.96788e-05
0.049,0.779091,0.999919,0.0493631,-8.12446e-05
0.05,0.779065,0.999917,0.0493373,-8.28065e-05
0.051,0.779039,0.999916,0.0493111,-8.43644e-05
0.052,0.779012,0.999914,0.0492843,-8.59182e-05
0.053,0.778985,0.999913,0.0492571,-8.74681e-05
0.054,0.778957,0.999911,0.0492293,-8.90139e-05
0.055,0.778929,0.999909,0.0492011,-9.05556e-05
0.056,0.7789,0.999908,0.0491724,-9.20933e-05
0.057,0.778871,0.999906,0.0491433,-9.3627e-05
0.058,0.778841,0.999905,0.0491136,-9.51565e-05
0.059,0.778811,0.999903,0.0490835,-9.6682e-05
0.06,0.778781,0.999902,0.0490529,-9.82034e-05
0.061,0.778749,0.9999,0.0490218,-9.97208e-05
0.062,0.778718,0.999899,0.0489902,-0.000101234
0.063,0.778686,0.999897,0.0489582,-0.000102743
0.064,0.778653,0.999896,0.0489257,-0.000104248
0.065,0.77862,0.999894,0.0488927,-0.000105749
0.066,0.778587,0.999893,0.0488592,-0.000107246
0.067,0.778553,0.999891,0.0488253,-0.000108738
0.068,0.778519,0.99989,0.0487909,-0.000110227
0.069,0.778484,0.999888,0.048756,-0.000111711
0.07,0.778448,0.999887,0.0487207,-0.000113191
0.071,0.778413,0.999885,0.0486849,-0.000114667
0.072,0.778376,0.999884,0.0486487,-0.000116139
0.073,0.77834,0.999882,0.0486119,-0.000117606
0.074,0.778302,0.999881,0.0485748,-0.00011907
0.075,0.778265,0.999879,0.0485371,-0.000120529
0.076,0.778227,0.999878,0.048499,-0.000121984
0.077,0.778188,0.999877,0.0484605,-0.000123435
0.078,0.778149,0.999875,0.0484215,-0.000124881
0.079,0.77811,0.999874,0.048382,-0.000126324
0.08,0.77807,0.999872,0.0483421,-0.000127762
0.081,0.778029,0.999871,0.0483017,-0.000129196
0.082,0.777989,0.999869,0.0482609,-0.000130625
0.083,0.777947,0.999868,0.0482197,-0.00013205
0.084,0.777906,0.999867,0.048178,-0.000133472
0.085,0.777863,0.999865,0.0481358,-0.000134888
0.086,0.777821,0.999864,0.0480932,-0.000136301
0.087,0.777778,0.999862,0.0480502,-0.000137709
0.088,0.777734,0.999861,0.0480067,-0.000139113
0.089,0.77769,0.999859,0.0479628,-0.000140513
0.09,0.777646,0.999858,0.0479184,-0.000141908
0.091,0.777601,0.999857,0.0478736,-0.000143299
0.092,0.777556,0.999855,0.0478284,-0.000144686
0.093,0.77751,0.999854,0.0477827,-0.000146068
0.094,0.777464,0.999853,0.0477366,-0.000147446
0.095,0.777418,0.999851,0.0476901,-0.00014882
0.096,0.777371,0.99985,0.0476431,-0.000150189
0.097,0.777323,0.999848,0.0475957,-0.000151554
0.098,0.777276,0.999847,0.0475479,-0.000152915
0.099,0.777227,0.999846,0.0474996,-0.000154271
0.1,0.777179,0.999844,0.0474509,-0.000155623
0.101,0.777129,0.999843,0.0474018,-0.000156971
0.102,0.77708,0.999842,0.0473523,-0.000158314
0.103,0.77703,0.99984,0.0473024,-0.000159653
0.104,0.77698,0.999839,0.047252,-0.000160987
0.105,0.776929,0.999838,0.0472012,-0.000162317
0.106,0.776878,0.999836,0.04715,-0.000163643
0.107,0.776826,0.999835,0.0470984,-0.000164964
0.108,0.776774,0.999834,0.0470464,-0.000166281
0.109,0.776722,0.999832,0.0469939,-0.000167593
0.11,0.776669,0.999831,0.0469411,-0.000168901
0.111,0.776615,0.99983,0.0468878,-0.000170205
0.112,0.776562,0.999828,0.0468341,-0.000171504
0.113,0.776508,0.999827,0.04678,-0.000172798
0.114,0.776453,0.999826,0.0467255,-0.000174089
0.115,0.776398,0.999825,0.0466706,-0.000175374
0.116,0.776343,0.999823,0.0466153,-0.000176656
0.117,0.776287,0.999822,0.0465596,-0.000177933
0.118,0.776231,0.999821,0.0465035,-0.000179205
0.119,0.776175,0.99982,0.0464471,-0.000180473
0.12,0.776118,0.999818,0.0463902,-0.000181736
0.121,0.776061,0.999817,0.0463329,-0.000182995
0.122,0.776003,0.999816,0.0462752,-0.00018425
0.123,0.775945,0.999815,0.0462171,-0.0001855
0.124,0.775886,0.999813,0.0461586,-0.000186745
0.125,0.775827,0.999812,0.0460998,-0.000187986
0.126,0.775768,0.999811,0.0460405,-0.000189223
0.127,0.775709,0.99981,0.0459809,-0.000190455
0.128,0.775648,0.999808,0.0459208,-0.000191682
0.129,0.775588,0.999807,0.0458604,-0.000192905
0.13,0.775527,0.999806,0.0457996,-0.000194124
0.131,0.775466,0.999805,0.0457385,-0.000195338
0.132,0.775405,0.999803,0.0456769,-0.000196547
0.133,0.775343,0.999802,0.045615,-0.000197752
0.134,0.77528,0.999801,0.0455527,-0.000198952
0.135,0.775218,0.9998,0.04549,-0.000200148
0.136,0.775155,0.999799,0.0454269,-0.000201339
0.137,0.775091,0.999797,0.0453635,-0.000202526
0.138,0.775027,0.999796,0.0452996,-0.000203708
0.139,0.774963,0.999795,0.0452355,-0.000204886
0.14,0.774899,0.999794,0.0451709,-0.000206059
0.141,0.774834,0.999793,0.045106,-0.000207227
0.142,0.774768,0.999792,0.0450407,-0.000208391
0.143,0.774703,0.99979,0.0449751,-0.000209551
0.144,0.774637,0.999789,0.044909,-0.000210706
0.145,0.77457,0.999788,0.0448427,-0.000211856
0.146,0.774504,0.999787,0.0447759,-0.000213001
0.147,0.774436,0.999786,0.0447088,-0.000214142
0.148,0.774369,0.999785,0.0446414,-0.000215279
0.149,0.774301,0.999784,0.0445736,-0.000216411
0.15,0.774233,0.999782,0.0445054,-0.000217538
0.151,0.774165,0.999781,0.0444369,-0.000218661
0.152,0.774096,0.99978,0.044368,-0.000219779
0.153,0.774026,0.999779,0.0442988,-0.000220892
0.154,0.773957,0.999778,0.0442292,-0.000222001
0.155,0.773887,0.999777,0.0441593,-0.000223105
0.156,0.773817,0.999776,0.044089,-0.000224205
0.157,0.773746,0.999775,0.0440184,-0.0002253
0.158,0.773675,0.999774,0.0439475,-0.000226391
0.159,0.773604,0.999773,0.0438762,-0.000227476
0.16,0.773532,0.999771,0.0438046,-0.000228558
0.161,0.77346,0.99977,0.0437326,-0.000229634
0.162,0.773388,0.999769,0.0436603,-0.000230706
0.163,0.773315,0.999768,0.0435876,-0.000231773
0.164,0.773242,0.999767,0.0435147,-0.000232836
0.165,0.773169,0.999766,0.0434413,-0.000233894
0.166,0.773095,0.999765,0.0433677,-0.000234948
0.167,0.773021,0.999764,0.0432937,-0.000235996
0.168,0.772947,0.999763,0.0432194,-0.000237041
0.169,0.772872,0.999762,0.0431448,-0.00023808
0.17,0.772797,0.999761,0.0430698,-0.000239115
0.171,0.772722,0.99976,0.0429945,-0.000240145
0.172,0.772647,0.999759,0.0429189,-0.000241171
0.173,0.772571,0.999758,0.042843,-0.000242192
0.174,0.772494,0.999757,0.0427668,-0.000243208
0.175,0.772418,0.999756,0.0426902,-0.000244219
0.176,0.772341,0.999755,0.0426133,-0.000245226
0.177,0.772264,0.999754,0.0425361,-0.000246229
0.178,0.772186,0.999753,0.0424586,-0.000247226
0.179,0.772108,0.999752,0.0423808,-0.000248219
0.18,0.77203,0.999751,0.0423026,-0.000249208
0.181,0.771952,0.99975,0.0422242,-0.000250191
0.182,0.771873,0.999749,0.0421454,-0.00025117
0.183,0.771794,0.999748,0.0420664,-0.000252144
0.184,0.771715,0.999747,0.041987,-0.000253114
0.185,0.771635,0.999746,0.0419073,-0.000254079
0.186,0.771555,0.999745,0.0418274,-0.000255039
0.187,0.771475,0.999744,0.0417471,-0.000255995
0.188,0.771394,0.999743,0.0416665,-0.000256946
0.189,0.771313,0.999742,0.0415857,-0.000257892
0.19,0.771232,0.999741,0.0415045,-0.000258834
0.191,0.771151,0.99974,0.041423,-0.000259771
0.192,0.771069,0.999739,0.0413413,-0.000260703
0.193,0.770987,0.999738,0.0412592,-0.000261631
0.194,0.770905,0.999737,0.0411769,-0.000262553
0.195,0.770822,0.999737,0.0410943,-0.000263472
0.196,0.770739,0.999736,0.0410113,-0.000264385
0.197,0.770656,0.999735,0.0409281,-0.000265294
0.198,0.770572,0.999734,0.0408447,-0.000266198
0.199,0.770489,0.999733,0.0407609,-0.000267098
0.2,0.770404,0.999732,0.0406768,-0.000267992
0.201,0.77032,0.999731,0.0405925,-0.000268882
0.202,0.770236,0.99973,0.0405079,-0.000269768
0.203,0.770151,0.999729,0.040423,-0.000270649
0.204,0.770065,0.999728,0.0403378,-0.000271525
0.205,0.76998,0.999728,0.0402524,-0.000272396
0.206,0.769894,0.999727,0.0401667,-0.000273263
0.207,0.769808,0.999726,0.0400807,-0.000274125
0.208,0.769722,0.999725,0.0399944,-0.000274982
0.209,0.769636,0.999724,0.0399079,-0.000275835
0.21,0.769549,0.999723,0.0398211,-0.000276682
0.211,0.769462,0.999722,0.0397341,-0.000277526
0.212,0.769374,0.999722,0.0396468,-0.000278364
0.213,0.769287,0.999721,0.0395592,-0.000279198
0.214,0.769199,0.99972,0.0394713,-0.000280027
0.215,0.769111,0.999719,0.0393832,-0.000280852
0.216,0.769023,0.999718,0.0392949,-0.000281672
0.217,0.768934,0.999718,0.0392063,-0.000282487
0.218,0.768845,0.999717,0.0391174,-0.000283297
0.219,0.768756,0.999716,0.0390283,-0.000284103
0.22,0.768667,0.999715,0.0389389,-0.000284904
0.221,0.768577,0.999714,0.0388492,-0.0002857
0.222,0.768487,0.999714,0.0387594,-0.000286492
0.223,0.768397,0.999713,0.0386692,-0.000287279
0.224,0.768307,0.999712,0.0385789,-0.000288061
0.225,0.768216,0.999711,0.0384882,-0.000288839
0.226,0.768125,0.99971,0.0383974,-0.000289612
0.227,0.768034,0.99971,0.0383063,-0.00029038
0.228,0.767943,0.999709,0.0382149,-0.000291144
0.229,0.767851,0.999708,0.0381233,-0.000291902
0.23,0.767759,0.999707,0.0380315,-0.000292657
0.231,0.767667,0.999707,0.0379395,-0.000293406
0.232,0.767575,0.999706,0.0378472,-0.000294151
0.233,0.767482,0.999705,0.0377546,-0.000294891
0.234,0.76739,0.999704,0.0376619,-0.000295627
0.235,0.767297,0.999704,0.0375689,-0.000296358
0.236,0.767203,0.999703,0.0374757,-0.000297084
0.237,0.76711,0.999702,0.0373822,-0.000297805
0.238,0.767016,0.999701,0.0372886,-0.000298522
0.239,0.766922,0.999701,0.0371947,-0.000299234
0.24,0.766828,0.9997,0.0371006,-0.000299942
0.241,0.766734,0.999699,0.0370062,-0.000300644
0.242,0.766639,0.999699,0.0369117,-0.000301343
0.243,0.766545,0.999698,0.0368169,-0.000302036
0.244,0.76645,0.999697,0.0367219,-0.000302725
0.245,0.766354,0.999697,0.0366267,-0.000303409
0.246,0.766259,0.999696,0.0365312,-0.000304089
0.247,0.766163,0.999695,0.0364356,-0.000304763
0.248,0.766067,0.999695,0.0363398,-0.000305434
0.249,0.765971,0.999694,0.0362437,-0.000306099
0.25,0.765875,0.999693,0.0361474,-0.00030676
0.251,0.765779,0.999693,0.036051,-0.000307416
0.252,0.765682,0.999692,0.0359543,-0.000308068
0.253,0.765585,0.999691,0.0358574,-0.000308715
0.254,0.765488,0.999691,0.0357603,-0.000309357
0.255,0.765391,0.99969,0.035663,-0.000309995
0.256,0.765293,0.999689,0.0355655,-0.000310628
0.257,0.765195,0.999689,0.0354678,-0.000311256
0.258,0.765098,0.999688,0.03537,-0.00031188
0.259,0.765,0.999688,0.0352719,-0.000312499
0.26,0.764901,0.999687,0.0351736,-0.000313113
0.261,0.764803,0.999686,0.0350751,-0.000313723
0.262,0.764704,0.999686,0.0349765,-0.000314328
0.263,0.764605,0.999685,0.0348776,-0.000314929
0.264,0.764506,0.999684,0.0347786,-0.000315525
0.265,0.764407,0.999684,0.0346794,-0.000316116
0.266,0.764308,0.999683,0.03458,-0.000316703
0.267,0.764208,0.999683,0.0344804,-0.000317285
0.268,0.764108,0.999682,0.0343806,-0.000317862
0.269,0.764008,0.999682,0.0342807,-0.000318435
0.27,0.763908,0.999681,0.0341806,-0.000319003
0.271,0.763808,0.99968,0.0340803,-0.000319567
0.272,0.763707,0.99968,0.0339798,-0.000320126
0.273,0.763607,0.999679,0.0338791,-0.00032068
0.274,0.763506,0.999679,0.0337783,-0.00032123
0.275,0.763405,0.999678,0.0336773,-0.000321776
0.276,0.763304,0.999678,0.0335761,-0.000322316
0.277,0.763202,0.999677,0.0334748,-0.000322852
0.278,0.763101,0.999677,0.0333733,-0.000323384
0.279,0.762999,0.999676,0.0332716,-0.000323911
0.28,0.762897,0.999676,0.0331697,-0.000324433
0.281,0.762795,0.999675,0.0330677,-0.000324951
0.282,0.762693,0.999675,0.0329656,-0.000325464
0.283,0.762591,0.999674,0.0328632,-0.000325972
0.284,0.762488,0.999674,0.0327607,-0.000326477
0.285,0.762386,0.999673,0.0326581,-0.000326976
0.286,0.762283,0.999673,0.0325553,-0.000327471
0.287,0.76218,0.999672,0.0324523,-0.000327961
0.288,0.762077,0.999672,0.0323492,-0.000328447
0.289,0.761974,0.999671,0.032246,-0.000328928
0.29,0.76187,0.999671,0.0321426,-0.000329405
0.291,0.761767,0.99967,0.032039,-0.000329877
0.292,0.761663,0.99967,0.0319353,-0.000330345
0.293,0.761559,0.999669,0.0318314,-0.000330808
0.294,0.761455,0.999669,0.0317274,-0.000331266
0.295,0.761351,0.999668,0.0316233,-0.00033172
0.296,0.761247,0.999668,0.031519,-0.00033217
0.297,0.761142,0.999667,0.0314146,-0.000332615
0.298,0.761038,0.999667,0.03131,-0.000333055
0.299,0.760933,0.999667,0.0312053,-0.000333491
0.3,0.760828,0.999666,0.0311005,-0.000333923
0.301,0.760723,0.999666,0.0309955,-0.00033435
0.302,0.760618,0.999665,0.0308904,-0.000334772
0.303,0.760513,0.999665,0.0307852,-0.00033519
0.304,0.760407,0.999664,0.0306798,-0.000335604
0.305,0.760302,0.999664,0.0305743,-0.000336012
0.306,0.760196,0.999664,0.0304687,-0.000336417
0.307,0.760091,0.999663,0.0303629,-0.000336817
0.308,0.759985,0.999663,0.0302571,-0.000337212
0.309,0.759879,0.999662,0.0301511,-0.000337603
0.31,0.759773,0.999662,0.0300449,-0.00033799
0.311,0.759666,0.999662,0.0299387,-0.000338372
0.312,0.75956,0.999661,0.0298323,-0.00033875
0.313,0.759454,0.999661,0.0297259,-0.000339123
0.314,0.759347,0.999661,0.0296193,-0.000339492
0.315,0.75924,0.99966,0.0295125,-0.000339856
0.316,0.759133,0.99966,0.0294057,-0.000340216
0.317,0.759026,0.999659,0.0292988,-0.000340571
0.318,0.758919,0.999659,0.0291917,-0.000340922
0.319,0.758812,0.999659,0.0290846,-0.000341269
0.32,0.758705,0.999658,0.0289773,-0.000341611
0.321,0.758598,0.999658,0.0288699,-0.000341949
0.322,0.75849,0.999658,0.0287625,-0.000342282
0.323,0.758383,0.999657,0.0286549,-0.000342611
0.324,0.758275,0.999657,0.0285472,-0.000342935
0.325,0.758167,0.999657,0.0284394,-0.000343255
0.326,0.758059,0.999656,0.0283315,-0.000343571
0.327,0.757951,0.999656,0.0282235,-0.000343882
0.328,0.757843,0.999656,0.0281154,-0.000344189
0.329,0.757735,0.999656,0.0280073,-0.000344492
0.33,0.757627,0.999655,0.027899,-0.00034479
0.331,0.757518,0.999655,0.0277906,-0.000345084
0.332,0.75741,0.999655,0.0276822,-0.000345373
0.333,0.757301,0.999654,0.0275736,-0.000345658
0.334,0.757193,0.999654,0.027465,-0.000345939
0.335,0.757084,0.999654,0.0273563,-0.000346215
0.336,0.756975,0.999654,0.0272475,-0.000346487
0.337,0.756866,0.999653,0.0271386,-0.000346755
0.338,0.756757,0.999653,0.0270296,-0.000347019
0.339,0.756648,0.999653,0.0269205,-0.000347278
0.34,0.756539,0.999652,0.0268114,-0.000347532
0.341,0.75643,0.999652,0.0267022,-0.000347783
0.342,0.756321,0.999652,0.0265929,-0.000348029
0.343,0.756211,0.999652,0.0264835,-0.000348271
0.344,0.756102,0.999651,0.026374,-0.000348508
0.345,0.755992,0.999651,0.0262645,-0.000348741
0.346,0.755883,0.999651,0.0261549,-0.00034897
0.347,0.755773,0.999651,0.0260453,-0.000349195
0.348,0.755663,0.999651,0.0259355,-0.000349415
0.349,0.755553,0.99965,0.0258257,-0.000349631
0.35,0.755443,0.99965,0.0257158,-0.000349843
0.351,0.755334,0.99965,0.0256059,-0.00035005
0.352,0.755224,0.99965,0.0254959,-0.000350254
0.353,0.755113,0.99965,0.0253858,-0.000350453
0.354,0.755003,0.999649,0.0252757,-0.000350648
0.355,0.754893,0.999649,0.0251655,-0.000350838
0.356,0.754783,0.999649,0.0250553,-0.000351024
0.357,0.754673,0.999649,0.024945,-0.000351207
0.358,0.754562,0.999649,0.0248346,-0.000351384
0.359,0.754452,0.999648,0.0247242,-0.000351558
0.36,0.754341,0.999648,0.0246137,-0.000351728
0.361,0.754231,0.999648,0.0245032,-0.000351893
0.362,0.75412,0.999648,0.0243926,-0.000352054
0.363,0.75401,0.999648,0.024282,-0.000352211
0.364,0.753899,0.999648,0.0241713,-0.000352364
0.365,0.753788,0.999647,0.0240606,-0.000352512
0.366,0.753677,0.999647,0.0239498,-0.000352656
0.367,0.753567,0.999647,0.023839,-0.000352797
0.368,0.753456,0.999647,0.0237281,-0.000352933
0.369,0.753345,0.999647,0.0236173,-0.000353065
0.37,0.753234,0.999647,0.0235063,-0.000353192
0.371,0.753123,0.999647,0.0233953,-0.000353316
0.372,0.753012,0.999647,0.0232843,-0.000353435
0.373,0.752901,0.999646,0.0231733,-0.000353551
0.374,0.75279,0.999646,0.0230622,-0.000353662
0.375,0.752679,0.999646,0.0229511,-0.000353769
0.376,0.752568,0.999646,0.0228399,-0.000353872
0.377,0.752456,0.999646,0.0227287,-0.000353971
0.378,0.752345,0.999646,0.0226175,-0.000354066
0.379,0.752234,0.999646,0.0225062,-0.000354157
0.38,0.752123,0.999646,0.022395,-0.000354243
0.381,0.752011,0.999646,0.0222837,-0.000354326
0.382,0.7519,0.999646,0.0221723,-0.000354405
0.383,0.751789,0.999646,0.022061,-0.000354479
0.384,0.751677,0.999645,0.0219496,-0.00035455
0.385,0.751566,0.999645,0.0218382,-0.000354616
0.386,0.751454,0.999645,0.0217268,-0.000354678
0.387,0.751343,0.999645,0.0216154,-0.000354737
0.388,0.751232,0.999645,0.0215039,-0.000354791
0.389,0.75112,0.999645,0.0213924,-0.000354841
0.39,0.751009,0.999645,0.021281,-0.000354888
0.391,0.750897,0.999645,0.0211695,-0.00035493
0.392,0.750786,0.999645,0.021058,-0.000354968
0.393,0.750674,0.999645,0.0209464,-0.000355003
0.394,0.750563,0.999645,0.0208349,-0.000355033
0.395,0.750451,0.999645,0.0207234,-0.000355059
0.396,0.750339,0.999645,0.0206118,-0.000355082
0.397,0.750228,0.999645,0.0205003,-0.0003551
0.398,0.750116,0.999645,0.0203887,-0.000355115
0.399,0.750005,0.999645,0.0202771,-0.000355125
0.4,0.749893,0.999645,0.0201656,-0.000355132
0.401,0.749782,0.999645,0.020054,-0.000355134
0.402,0.74967,0.999645,0.0199424,-0.000355133
0.403,0.749559,0.999645,0.0198309,-0.000355128
0.404,0.749447,0.999645,0.0197193,-0.000355119
0.405,0.749335,0.999645,0.0196077,-0.000355106
0.406,0.749224,0.999645,0.0194962,-0.000355089
0.407,0.749112,0.999645,0.0193846,-0.000355068
0.408,0.749001,0.999645,0.0192731,-0.000355044
0.409,0.748889,0.999645,0.0191615,-0.000355015
0.41,0.748778,0.999645,0.01905,-0.000354983
0.411,0.748666,0.999645,0.0189385,-0.000354947
0.412,0.748555,0.999645,0.018827,-0.000354907
0.413,0.748443,0.999645,0.0187155,-0.000354863
0.414,0.748332,0.999645,0.018604,-0.000354815
0.415,0.74822,0.999645,0.0184926,-0.000354764
0.416,0.748109,0.999645,0.0183811,-0.000354708
0.417,0.747997,0.999645,0.0182697,-0.000354649
0.418,0.747886,0.999645,0.0181583,-0.000354586
0.419,0.747775,0.999645,0.0180469,-0.00035452
0.42,0.747663,0.999646,0.0179355,-0.000354449
0.421,0.747552,0.999646,0.0178242,-0.000354375
0.422,0.747441,0.999646,0.0177129,-0.000354297
0.423,0.747329,0.999646,0.0176016,-0.000354215
0.424,0.747218,0.999646,0.0174903,-0.000354129
0.425,0.747107,0.999646,0.0173791,-0.00035404
0.426,0.746996,0.999646,0.0172679,-0.000353947
0.427,0.746884,0.999646,0.0171567,-0.00035385
0.428,0.746773,0.999646,0.0170455,-0.00035375
0.429,0.746662,0.999646,0.0169344,-0.000353646
0.43,0.746551,0.999646,0.0168233,-0.000353538
0.431,0.74644,0.999647,0.0167123,-0.000353426
0.432,0.746329,0.999647,0.0166013,-0.000353311
0.433,0.746218,0.999647,0.0164903,-0.000353192
0.434,0.746107,0.999647,0.0163794,-0.000353069
0.435,0.745996,0.999647,0.0162685,-0.000352943
0.436,0.745885,0.999647,0.0161576,-0.000352813
0.437,0.745774,0.999647,0.0160468,-0.000352679
0.438,0.745664,0.999647,0.015936,-0.000352542
0.439,0.745553,0.999648,0.0158253,-0.000352401
0.44,0.745442,0.999648,0.0157146,-0.000352257
0.441,0.745332,0.999648,0.0156039,-0.000352109
0.442,0.745221,0.999648,0.0154933,-0.000351957
0.443,0.74511,0.999648,0.0153828,-0.000351802
0.444,0.745,0.999648,0.0152723,-0.000351643
0.445,0.74489,0.999649,0.0151619,-0.000351481
0.446,0.744779,0.999649,0.0150515,-0.000351315
0.447,0.744669,0.999649,0.0149411,-0.000351145
0.448,0.744558,0.999649,0.0148308,-0.000350972
0.449,0.744448,0.999649,0.0147206,-0.000350795
0.45,0.744338,0.999649,0.0146104,-0.000350615
0.451,0.744228,0.99965,0.0145003,-0.000350431
0.452,0.744118,0.99965,0.0143902,-0.000350244
0.453,0.744008,0.99965,0.0142802,-0.000350054
0.454,0.743898,0.99965,0.0141703,-0.000349859
0.455,0.743788,0.99965,0.0140604,-0.000349662
0.456,0.743678,0.999651,0.0139506,-0.00034946
0.457,0.743568,0.999651,0.0138408,-0.000349256
0.458,0.743459,0.999651,0.0137312,-0.000349048
0.459,0.743349,0.999651,0.0136215,-0.000348836
0.46,0.74324,0.999651,0.013512,-0.000348621
0.461,0.74313,0.999652,0.0134025,-0.000348402
0.462,0.743021,0.999652,0.0132931,-0.000348181
0.463,0.742911,0.999652,0.0131837,-0.000347955
0.464,0.742802,0.999652,0.0130744,-0.000347726
0.465,0.742693,0.999653,0.0129652,-0.000347494
0.466,0.742584,0.999653,0.0128561,-0.000347259
0.467,0.742475,0.999653,0.012747,-0.00034702
0.468,0.742366,0.999653,0.0126381,-0.000346778
0.469,0.742257,0.999653,0.0125292,-0.000346532
0.47,0.742148,0.999654,0.0124203,-0.000346283
0.471,0.742039,0.999654,0.0123116,-0.000346031
0.472,0.741931,0.999654,0.0122029,-0.000345775
0.473,0.741822,0.999654,0.0120943,-0.000345516
0.474,0.741713,0.999655,0.0119858,-0.000345254
0.475,0.741605,0.999655,0.0118774,-0.000344988
0.476,0.741497,0.999655,0.0117691,-0.000344719
0.477,0.741388,0.999656,0.0116608,-0.000344447
0.478,0.74128,0.999656,0.0115526,-0.000344171
0.479,0.741172,0.999656,0.0114446,-0.000343892
0.48,0.741064,0.999656,0.0113366,-0.00034361
0.481,0.740956,0.999657,0.0112287,-0.000343325
0.482,0.740848,0.999657,0.0111208,-0.000343036
0.483,0.740741,0.999657,0.0110131,-0.000342745
0.484,0.740633,0.999658,0.0109055,-0.00034245
0.485,0.740526,0.999658,0.010798,-0.000342151
0.486,0.740418,0.999658,0.0106905,-0.00034185
0.487,0.740311,0.999658,0.0105832,-0.000341545
0.488,0.740204,0.999659,0.0104759,-0.000341237
0.489,0.740096,0.999659,0.0103688,-0.000340926
0.49,0.739989,0.999659,0.0102617,-0.000340612
0.491,0.739882,0.99966,0.0101547,-0.000340295
0.492,0.739776,0.99966,0.0100479,-0.000339974
0.493,0.739669,0.99966,0.00994114,-0.000339651
0.494,0.739562,0.999661,0.00983448,-0.000339324
0.495,0.739456,0.999661,0.00972793,-0.000338994
0.496,0.739349,0.999661,0.00962149,-0.000338661
0.497,0.739243,0.999662,0.00951515,-0.000338325
0.498,0.739137,0.999662,0.00940891,-0.000337986
0.499,0.73903,0.999662,0.00930279,-0.000337643
0.5,0.738924,0.999663,0.00919677,-0.000337298
0.501,0.738819,0.999663,0.00909086,-0.000336949
0.502,0.738713,0.999663,0.00898505,-0.000336598
0.503,0.738607,0.999664,0.00887936,-0.000336243
0.504,0.738501,0.999664,0.00877379,-0.000335886
0.505,0.738396,0.999664,0.00866832,-0.000335525
0.506,0.738291,0.999665,0.00856297,-0.000335161
0.507,0.738185,0.999665,0.00845773,-0.000334795
0.508,0.73808,0.999666,0.00835261,-0.000334425
0.509,0.737975,0.999666,0.00824761,-0.000334053
0.51,0.73787,0.999666,0.00814272,-0.000333677
0.511,0.737766,0.999667,0.00803795,-0.000333298
0.512,0.737661,0.999667,0.0079333,-0.000332917
0.513,0.737556,0.999667,0.00782878,-0.000332532
0.514,0.737452,0.999668,0.00772437,-0.000332145
